Timestamp,Age Group,Area,No .of stationery shops near by,How do you rate the stationery shops nearby?,Which brands do you prefer?,Which services do you prefer?,Which of these items are not available in your locality?,
2/22/2018 12:18:47,20-60,Thane,10,4,"Sundaram, Classmate, Navneet, Camlin","Home delivery, Online services","Party decorations, College ceremonies, Greeting cards",
2/22/2018 12:29:22,20-60,Chembur,10,4,"Sundaram, Classmate, Navneet",Print,Files and Folders,
2/22/2018 12:39:41,16-20,Kalyan,3,5,"Sundaram, Classmate, Navneet, Camlin, Others","Color xerox, Print, Home delivery, Online services, Lamination and Binding",,
2/22/2018 14:26:11,20-60,Kalyan,3,4,"Sundaram, Classmate, Navneet",Print,,
2/22/2018 14:55:16,20-60,Kalyan,5,4,"Sundaram, Classmate, Camlin","Color xerox, Print, Lamination and Binding",,
2/22/2018 17:18:29,16-20,Navi Mumbai,6,5,Others,Home delivery,,
2/22/2018 20:11:15,20-60,Thane,4,4,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Lamination and Binding",College ceremonies,
2/22/2018 20:33:32,16-20,Thane,4,4,"Classmate, Camlin","Print, Home delivery",Party decorations,
2/22/2018 21:57:32,16-20,Chembur,3,4,Navneet,Online services,Party decorations,
2/23/2018 4:32:39,16-20,Thane,4,3,"Classmate, Navneet","Color xerox, Print","Party decorations, College ceremonies, Files and Folders",
2/23/2018 11:28:37,16-20,Chembur,5,3,Classmate,"Color xerox, Print, Online services",College ceremonies,
2/23/2018 22:15:29,16-20,Kalyan,1,3,"Sundaram, Classmate","Color xerox, Print, Online services, Lamination and Binding","Party decorations, Greeting cards, Gift wrapping, Files and Folders",
2/23/2018 22:48:43,16-20,Chembur,2,5,Classmate,"Color xerox, Lamination and Binding","Party decorations, College ceremonies",
2/24/2018 9:44:21,20-60,Chembur,2,5,"Sundaram, Classmate","Color xerox, Print, Online services, Lamination and Binding","Greeting cards, Files and Folders",
2/27/2018 10:07:35,16-20,Chembur,6,5,Others,Print,Gift wrapping,
